data_type,cancer,year,sex,age_group,count,age_specific_rate,asr_2001,asr_2023,asr_who,asr_segi,age_start
Actual,Melanoma of the skin,1982,Females,00-04,0,0.0,,,,,0.0
Actual,Melanoma of the skin,1982,Females,05-09,2,0.3,,,,,5.0
Actual,Melanoma of the skin,1982,Females,10-14,5,0.8,,,,,10.0
Actual,Melanoma of the skin,1982,Females,15-19,39,6.2,,,,,15.0
Actual,Melanoma of the skin,1982,Females,20-24,92,14.0,,,,,20.0
Actual,Melanoma of the skin,1982,Females,25-29,128,20.6,,,,,25.0
Actual,Melanoma of the skin,1982,Females,30-34,163,26.9,,,,,30.0
Actual,Melanoma of the skin,1982,Females,35-39,171,32.5,,,,,35.0
Actual,Melanoma of the skin,1982,Females,40-44,165,39.1,,,,,40.0
Actual,Melanoma of the skin,1982,Females,45-49,160,43.9,,,,,45.0
Actual,Melanoma of the skin,1982,Females,50-54,133,35.6,,,,,50.0
Actual,Melanoma of the skin,1982,Females,55-59,170,45.7,,,,,55.0
Actual,Melanoma of the skin,1982,Females,60-64,133,40.1,,,,,60.0
Actual,Melanoma of the skin,1982,Females,65-69,154,53.0,,,,,65.0
Actual,Melanoma of the skin,1982,Females,70-74,112,47.8,,,,,70.0
Actual,Melanoma of the skin,1982,Females,75-79,90,55.9,,,,,75.0
Actual,Melanoma of the skin,1982,Females,80-84,43,41.0,,,,,80.0
Actual,Melanoma of the skin,1982,Females,85-89,23,42.9,,,,,85.0
Actual,Melanoma of the skin,1982,Females,90+,15,62.2,,,,,90.0
Actual,Melanoma of the skin,1982,Females,All ages combined,1802,23.7,26.3,28.4,22.6,20.7,
Actual,Melanoma of the skin,1983,Females,00-04,0,0.0,,,,,0.0
Actual,Melanoma of the skin,1983,Females,05-09,0,0.0,,,,,5.0
Actual,Melanoma of the skin,1983,Females,10-14,6,0.9,,,,,10.0
Actual,Melanoma of the skin,1983,Females,15-19,33,5.3,,,,,15.0
Actual,Melanoma of the skin,1983,Females,20-24,99,14.9,,,,,20.0
