data_type,cancer,year,sex,age_group,count,age_specific_rate,asr_2001,asr_2023,asr_who,asr_segi,age_start
Actual,Melanoma of the skin,1982,Females,15-19,39,6.2,,,,,15.0
Actual,Melanoma of the skin,1982,Females,20-24,92,14.0,,,,,20.0
Actual,Melanoma of the skin,1982,Females,25-29,128,20.6,,,,,25.0
Actual,Melanoma of the skin,1982,Females,30-34,163,26.9,,,,,30.0
Actual,Melanoma of the skin,1982,Females,35-39,171,32.5,,,,,35.0
Actual,Melanoma of the skin,1983,Females,15-19,33,5.3,,,,,15.0
Actual,Melanoma of the skin,1983,Females,20-24,99,14.9,,,,,20.0
Actual,Melanoma of the skin,1983,Females,25-29,161,25.6,,,,,25.0
Actual,Melanoma of the skin,1983,Females,30-34,188,30.6,,,,,30.0
Actual,Melanoma of the skin,1983,Females,35-39,190,34.0,,,,,35.0
Actual,Melanoma of the skin,1984,Females,15-19,33,5.2,,,,,15.0
Actual,Melanoma of the skin,1984,Females,20-24,83,12.5,,,,,20.0
Actual,Melanoma of the skin,1984,Females,25-29,130,20.3,,,,,25.0
Actual,Melanoma of the skin,1984,Females,30-34,190,30.6,,,,,30.0
Actual,Melanoma of the skin,1984,Females,35-39,197,34.0,,,,,35.0
Actual,Melanoma of the skin,1985,Females,15-19,31,4.9,,,,,15.0
Actual,Melanoma of the skin,1985,Females,20-24,100,15.1,,,,,20.0
Actual,Melanoma of the skin,1985,Females,25-29,158,24.2,,,,,25.0
Actual,Melanoma of the skin,1985,Females,30-34,201,32.1,,,,,30.0
Actual,Melanoma of the skin,1985,Females,35-39,248,41.1,,,,,35.0
Actual,Melanoma of the skin,1986,Females,15-19,43,6.5,,,,,15.0
Actual,Melanoma of the skin,1986,Females,20-24,97,14.8,,,,,20.0
Actual,Melanoma of the skin,1986,Females,25-29,127,19.0,,,,,25.0
Actual,Melanoma of the skin,1986,Females,30-34,188,29.7,,,,,30.0
Actual,Melanoma of the skin,1986,Females,35-39,245,39.2,,,,,35.0
Actual,Melanoma of the skin,1987,Females,15-19,49,7.2,,,,,15.0
Actual,Melanoma of the skin,1987,Females,20-24,106,16.2,,,,,20.0
Actual,Melanoma of the skin,1987,Females,25-29,187,27.4,,,,,25.0
Actual,Melanoma of the skin,1987,Females,30-34,215,33.3,,,,,30.0
Actual,Melanoma of the skin,1987,Females,35-39,263,42.1,,,,,35.0
Actual,Melanoma of the skin,1988,Females,15-19,52,7.5,,,,,15.0
Actual,Melanoma of the skin,1988,Females,20-24,106,16.2,,,,,20.0
Actual,Melanoma of the skin,1988,Females,25-29,181,26.0,,,,,25.0
Actual,Melanoma of the skin,1988,Females,30-34,225,34.0,,,,,30.0
Actual,Melanoma of the skin,1988,Females,35-39,259,40.8,,,,,35.0
Actual,Melanoma of the skin,1989,Females,15-19,46,6.7,,,,,15.0
Actual,Melanoma of the skin,1989,Females,20-24,108,16.4,,,,,20.0
Actual,Melanoma of the skin,1989,Females,25-29,150,21.2,,,,,25.0
Actual,Melanoma of the skin,1989,Females,30-34,182,26.9,,,,,30.0
Actual,Melanoma of the skin,1989,Females,35-39,238,36.9,,,,,35.0
Actual,Melanoma of the skin,1990,Females,15-19,42,6.1,,,,,15.0
Actual,Melanoma of the skin,1990,Females,20-24,103,15.4,,,,,20.0
Actual,Melanoma of the skin,1990,Females,25-29,140,19.8,,,,,25.0
Actual,Melanoma of the skin,1990,Females,30-34,163,23.5,,,,,30.0
Actual,Melanoma of the skin,1990,Females,35-39,243,37.0,,,,,35.0
