age_group,behavior,percentage
15–24 years,Attempted to Suntan,20.6
15–24 years,Attempted to Suntan,4.1
15–24 years,Experienced Sunburn,15.2
15–24 years,Experienced Sunburn,2.6
15–24 years,Used Sunscreen Regularly,38.9
15–24 years,Used Sunscreen Regularly,3.9
35–44 years,Attempted to Suntan,8.1
35–44 years,Attempted to Suntan,1.6
35–44 years,Experienced Sunburn,8.0
35–44 years,Experienced Sunburn,1.5
35–44 years,Used Sunscreen Regularly,45.5
35–44 years,Used Sunscreen Regularly,2.3
65 years and over,Attempted to Suntan,3.3
65 years and over,Attempted to Suntan,0.8
65 years and over,Experienced Sunburn,2.0
65 years and over,Experienced Sunburn,0.6
65 years and over,Used Sunscreen Regularly,27.4
65 years and over,Used Sunscreen Regularly,2.2
